b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
44,Female,Kigali,Gasabo,Rural,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
35,Male,West,Nyamasheke,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Seldom
19,Male,East,Nyagatare,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,Never,Improved,No,Have scarce control over my financial situation,No,Seldom
34,Male,West,Rusizi,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,No,None of them
24,Female,Kigali,Nyarugenge,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
47,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
44,Female,Kigali,Nyarugenge,Urban,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Yes all
71,Female,North,Gakenke,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,Never,Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
23,Female,Kigali,Gasabo,Urban,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
18,Female,East,Bugesera,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,Yes,Sometimes,Rarely (less than 2 months),Remained the same,Yes,Have no control over my financial situation,Yes,Yes all
76,Female,South,Nyamagabe,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,None of them
33,Male,West,Karongi,Urban,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,,Yes,Yes,Sometimes,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
37,Female,East,Gatsibo,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",No,Yes all
