indicator,geo,geo_type,province,residence,sex,value
School attendance 13-18 (%),Gakenke,District,Northern Province,Urban,Male,68.9
School attendance 13-18 (%),Gakenke,District,Northern Province,Urban,Female,75.2
School attendance 13-18 (%),Gakenke,District,Northern Province,Rural,Both sexes,62.1
School attendance 13-18 (%),Gakenke,District,Northern Province,Rural,Male,58.7
School attendance 13-18 (%),Gakenke,District,Northern Province,Rural,Female,65.6
School attendance 13-18 (%),Musanze,District,Northern Province,Rwanda,Both sexes,62.4
School attendance 13-18 (%),Musanze,District,Northern Province,Rwanda,Male,60.8
School attendance 13-18 (%),Musanze,District,Northern Province,Rwanda,Female,64.0
School attendance 13-18 (%),Musanze,District,Northern Province,Urban,Both sexes,69.0
School attendance 13-18 (%),Musanze,District,Northern Province,Urban,Male,68.9
School attendance 13-18 (%),Musanze,District,Northern Province,Urban,Female,69.2
School attendance 13-18 (%),Musanze,District,Northern Province,Rural,Both sexes,56.7
School attendance 13-18 (%),Musanze,District,Northern Province,Rural,Male,54.1
School attendance 13-18 (%),Musanze,District,Northern Province,Rural,Female,59.3
School attendance 13-18 (%),Burera,District,Northern Province,Rwanda,Both sexes,64.3
School attendance 13-18 (%),Burera,District,Northern Province,Rwanda,Male,61.7
School attendance 13-18 (%),Burera,District,Northern Province,Rwanda,Female,66.8
School attendance 13-18 (%),Burera,District,Northern Province,Urban,Both sexes,72.3
School attendance 13-18 (%),Burera,District,Northern Province,Urban,Male,71.1
School attendance 13-18 (%),Burera,District,Northern Province,Urban,Female,73.6
School attendance 13-18 (%),Burera,District,Northern Province,Rural,Both sexes,63.4
School attendance 13-18 (%),Burera,District,Northern Province,Rural,Male,60.7
School attendance 13-18 (%),Burera,District,Northern Province,Rural,Female,66.0
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rwanda,Both sexes,64.0
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rwanda,Male,59.8
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rwanda,Female,68.2
School attendance 13-18 (%),Gicumbi,District,Northern Province,Urban,Both sexes,72.0
School attendance 13-18 (%),Gicumbi,District,Northern Province,Urban,Male,70.3
School attendance 13-18 (%),Gicumbi,District,Northern Province,Urban,Female,73.5
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rural,Both sexes,63.5
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rural,Male,59.2
School attendance 13-18 (%),Gicumbi,District,Northern Province,Rural,Female,67.9
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rwanda,Both sexes,63.9
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rwanda,Male,62.1
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rwanda,Female,65.6
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Urban,Both sexes,69.4
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Urban,Male,69.6
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Urban,Female,69.3
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rural,Both sexes,62.6
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rural,Male,60.5
School attendance 13-18 (%),Eastern Province,Province,Eastern Province,Rural,Female,64.8
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rwanda,Both sexes,65.4
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rwanda,Male,61.6
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rwanda,Female,69.2
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Urban,Both sexes,69.9
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Urban,Male,69.3
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Urban,Female,70.5
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rural,Both sexes,63.3
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rural,Male,58.1
School attendance 13-18 (%),Rwamagana,District,Eastern Province,Rural,Female,68.6
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rwanda,Both sexes,62.6
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rwanda,Male,61.8
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rwanda,Female,63.5
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Urban,Both sexes,68.3
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Urban,Male,68.1
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Urban,Female,68.5
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rural,Both sexes,61.0
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rural,Male,60.0
School attendance 13-18 (%),Nyagatare,District,Eastern Province,Rural,Female,62.1
