group,year,sex,count,pct,level
Total pupils in Preprimary level,2019,Male,138911.0,,ECD
Total pupils in Preprimary level,2020/21,Male,143060.0,,ECD
Total pupils in Preprimary level,2021/22,Male,177523.0,,ECD
Total pupils in Preprimary level,2022/23,Male,271844.0,,ECD
Total pupils,2017,Male,108462.0,0.492,Preprimary
Total pupils,2017,Female,111973.0,0.508,Preprimary
Total pupils,2018,Male,112044.0,0.494,Preprimary
Total pupils,2018,Female,114662.0,0.506,Preprimary
Total pupils,2019,Male,138911.0,0.492,Preprimary
Total pupils,2019,Female,143517.0,0.508,Preprimary
Total pupils,2020/21,Male,143060.0,0.487,Preprimary
Total pupils,2020/21,Female,150763.0,0.513,Preprimary
Total pupils,2021/22,Male,177523.0,0.5,Preprimary
Total pupils,2021/22,Female,177802.0,0.5,Preprimary
Total pupils,2022/23,Male,271844.0,0.502,Preprimary
Total pupils,2022/23,Female,269154.0,0.498,Preprimary
Pupils in Public schools,2017,Male,15765.0,,Preprimary
Pupils in Public schools,2017,Female,16516.0,,Preprimary
Pupils in Public schools,2018,Male,15978.0,,Preprimary
Pupils in Public schools,2018,Female,15962.0,,Preprimary
Pupils in Public schools,2019,Male,20531.0,,Preprimary
Pupils in Public schools,2019,Female,21115.0,,Preprimary
Pupils in Public schools,2020/21,Male,37600.0,,Preprimary
Pupils in Public schools,2020/21,Female,40293.0,,Preprimary
Pupils in Public schools,2021/22,Male,53184.0,,Preprimary
Pupils in Public schools,2021/22,Female,54263.0,,Preprimary
Pupils in Public schools,2022/23,Male,93940.0,,Preprimary
Pupils in Public schools,2022/23,Female,93609.0,,Preprimary
Pupils in Government-subsidized schools,2017,Male,47431.0,,Preprimary
Pupils in Government-subsidized schools,2017,Female,49795.0,,Preprimary
Pupils in Government-subsidized schools,2018,Male,53386.0,,Preprimary
Pupils in Government-subsidized schools,2018,Female,55364.0,,Preprimary
Pupils in Government-subsidized schools,2019,Male,61610.0,,Preprimary
Pupils in Government-subsidized schools,2019,Female,64048.0,,Preprimary
Pupils in Government-subsidized schools,2020/21,Male,59455.0,,Preprimary
Pupils in Government-subsidized schools,2020/21,Female,63896.0,,Preprimary
Pupils in Government-subsidized schools,2021/22,Male,83850.0,,Preprimary
Pupils in Government-subsidized schools,2021/22,Female,84996.0,,Preprimary
Pupils in Government-subsidized schools,2022/23,Male,133361.0,,Preprimary
Pupils in Government-subsidized schools,2022/23,Female,132887.0,,Preprimary
Pupils in Private schools,2017,Male,45266.0,,Preprimary
Pupils in Private schools,2017,Female,45662.0,,Preprimary
Pupils in Private schools,2018,Male,42680.0,,Preprimary
Pupils in Private schools,2018,Female,43336.0,,Preprimary
Pupils in Private schools,2019,Male,56770.0,,Preprimary
Pupils in Private schools,2019,Female,58354.0,,Preprimary
Pupils in Private schools,2020/21,Male,46005.0,,Preprimary
Pupils in Private schools,2020/21,Female,46574.0,,Preprimary
Pupils in Private schools,2021/22,Male,40489.0,,Preprimary
Pupils in Private schools,2021/22,Female,38543.0,,Preprimary
Pupils in Private schools,2022/23,Male,44543.0,,Preprimary
Pupils in Private schools,2022/23,Female,42658.0,,Preprimary
Total primary pupils,2017,Male,1272842.0,0.501,Primary
Total primary pupils,2017,Female,1267532.0,0.499,Primary
Total primary pupils,2018,Male,1259344.0,0.503,Primary
Total primary pupils,2018,Female,1244361.0,0.497,Primary
Total primary pupils,2019,Male,1268996.0,0.505,Primary
Total primary pupils,2019,Female,1243469.0,0.495,Primary
Total primary pupils,2020/21,Male,1370022.0,0.502,Primary
Total primary pupils,2020/21,Female,1359094.0,0.498,Primary
Total primary pupils,2021/22,Male,1384332.0,0.505,Primary
Total primary pupils,2021/22,Female,1358219.0,0.495,Primary
Total primary pupils,2022/23,Male,1445412.0,0.509,Primary
Total primary pupils,2022/23,Female,1392931.0,0.491,Primary
Pupils in Public schools,2017,Male,398902.0,,Primary
Pupils in Public schools,2017,Female,397997.0,,Primary
Pupils in Public schools,2018,Male,397253.0,,Primary
Pupils in Public schools,2018,Female,393653.0,,Primary
Pupils in Public schools,2019,Male,409920.0,,Primary
