year,quarter,group,indicator,value
2024,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),52.560048499452584
2024,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),55.138529724308576
2024,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),59.87409047131961
2024,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),56.611793855083754
2025,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),54.466744028913006
2025,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),57.15694549331557
2025,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),57.824022256580825
2025,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),57.126920930036974
2019,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),34.38732129381896
2019,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),32.77785949233816
2019,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),35.70038875036537
2019,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),34.44182716309909
2020,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),34.17071893109924
2020,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),31.81104548047341
2020,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),34.737038126898625
2021,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),34.378188703931144
2021,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),37.197242721164635
2021,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),37.71319787990954
2021,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),33.02787372526502
2022,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),31.603079201977224
2022,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),36.23023141803243
2022,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),32.89365791705811
2022,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),36.02664273851771
2023,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),33.18449771412091
2023,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),33.65044311183286
2023,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),33.1907181324535
2023,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),31.464716745769476
2024,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),28.421622991983043
2024,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),28.994632427632418
2024,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),29.13118674245647
2024,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),27.258419121384655
2025,Q1,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),23.022515032631492
2025,Q2,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),24.6421982571202
2025,Q3,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),25.59335719804968
2025,Q4,Youth (16-30),NEET rate-Youth  not in employment nor currently in education or training(%),24.88968564151604
2019,Q1,Youth (16-30),Median monthly earnings at main job,20800.0
2019,Q2,Youth (16-30),Median monthly earnings at main job,20000.0
2019,Q3,Youth (16-30),Median monthly earnings at main job,20800.0
2019,Q4,Youth (16-30),Median monthly earnings at main job,20800.0
2020,Q1,Youth (16-30),Median monthly earnings at main job,20800.0
2020,Q3,Youth (16-30),Median monthly earnings at main job,26000.0
2020,Q4,Youth (16-30),Median monthly earnings at main job,26000.0
2021,Q1,Youth (16-30),Median monthly earnings at main job,20800.0
2021,Q2,Youth (16-30),Median monthly earnings at main job,24000.0
2021,Q3,Youth (16-30),Median monthly earnings at main job,26000.0
2021,Q4,Youth (16-30),Median monthly earnings at main job,26000.0
2022,Q1,Youth (16-30),Median monthly earnings at main job,24000.0
2022,Q2,Youth (16-30),Median monthly earnings at main job,26000.0
2022,Q3,Youth (16-30),Median monthly earnings at main job,26000.0
2022,Q4,Youth (16-30),Median monthly earnings at main job,26000.0
2023,Q1,Youth (16-30),Median monthly earnings at main job,26000.0
2023,Q2,Youth (16-30),Median monthly earnings at main job,26000.0
2023,Q3,Youth (16-30),Median monthly earnings at main job,30000.0
2023,Q4,Youth (16-30),Median monthly earnings at main job,26000.0
2024,Q1,Youth (16-30),Median monthly earnings at main job,31200.0
2024,Q2,Youth (16-30),Median monthly earnings at main job,31200.0
2024,Q3,Youth (16-30),Median monthly earnings at main job,39000.0
2024,Q4,Youth (16-30),Median monthly earnings at main job,31200.0
2025,Q1,Youth (16-30),Median monthly earnings at main job,31500.0
2025,Q2,Youth (16-30),Median monthly earnings at main job,39000.0
2025,Q3,Youth (16-30),Median monthly earnings at main job,39000.0
2025,Q4,Youth (16-30),Median monthly earnings at main job,39000.0
2019,Q1,Adult (31+),Labour force participation rate(%),54.23230600752464
2019,Q2,Adult (31+),Labour force participation rate(%),55.9455258814332
2019,Q3,Adult (31+),Labour force participation rate(%),53.953333228040975
2019,Q4,Adult (31+),Labour force participation rate(%),56.69131918670861
2020,Q1,Adult (31+),Labour force participation rate(%),57.598108195844155
2020,Q2,Adult (31+),Labour force participation rate(%),56.79906986503717
2020,Q3,Adult (31+),Labour force participation rate(%),57.9815785326147
2020,Q4,Adult (31+),Labour force participation rate(%),57.95578643975947
2021,Q1,Adult (31+),Labour force participation rate(%),54.42283420955795
2021,Q2,Adult (31+),Labour force participation rate(%),55.35081887605973
2021,Q3,Adult (31+),Labour force participation rate(%),54.215510643079426
2021,Q4,Adult (31+),Labour force participation rate(%),64.18960064618946
2022,Q1,Adult (31+),Labour force participation rate(%),58.54387516595906
2022,Q2,Adult (31+),Labour force participation rate(%),58.927622468910215
2022,Q3,Adult (31+),Labour force participation rate(%),59.61247976028706
2022,Q4,Adult (31+),Labour force participation rate(%),62.49881478819003
2023,Q1,Adult (31+),Labour force participation rate(%),60.41685803236045
2023,Q2,Adult (31+),Labour force participation rate(%),63.18273603274424
2023,Q3,Adult (31+),Labour force participation rate(%),60.708685154932056
2023,Q4,Adult (31+),Labour force participation rate(%),62.13563331860019
2024,Q1,Adult (31+),Labour force participation rate(%),64.00617245052288
2024,Q2,Adult (31+),Labour force participation rate(%),65.01130939117493
2024,Q3,Adult (31+),Labour force participation rate(%),63.45255123422555
2024,Q4,Adult (31+),Labour force participation rate(%),66.5610449440266
2025,Q1,Adult (31+),Labour force participation rate(%),66.42830884396669
2025,Q2,Adult (31+),Labour force participation rate(%),65.33187556700811
2025,Q3,Adult (31+),Labour force participation rate(%),64.90657847065883
2025,Q4,Adult (31+),Labour force participation rate(%),66.68030457503511
2019,Q1,Adult (31+),Employment-to-population ratio(%),48.33189747983378
2019,Q2,Adult (31+),Employment-to-population ratio(%),48.92910327087232
2019,Q3,Adult (31+),Employment-to-population ratio(%),47.25910050361406
2019,Q4,Adult (31+),Employment-to-population ratio(%),49.80567498344522
2020,Q1,Adult (31+),Employment-to-population ratio(%),51.93235304111616
2020,Q2,Adult (31+),Employment-to-population ratio(%),46.75734518471829
2020,Q3,Adult (31+),Employment-to-population ratio(%),51.00971843673598
2020,Q4,Adult (31+),Employment-to-population ratio(%),48.202467133182694
2021,Q1,Adult (31+),Employment-to-population ratio(%),46.97993049317912
2021,Q2,Adult (31+),Employment-to-population ratio(%),44.29987245357185
2021,Q3,Adult (31+),Employment-to-population ratio(%),46.11757532894339
2021,Q4,Adult (31+),Employment-to-population ratio(%),51.7800391640895
2022,Q1,Adult (31+),Employment-to-population ratio(%),50.88892526585593
2022,Q2,Adult (31+),Employment-to-population ratio(%),47.50613287007511
2022,Q3,Adult (31+),Employment-to-population ratio(%),50.6970741621804
2022,Q4,Adult (31+),Employment-to-population ratio(%),49.66713127046332
2023,Q1,Adult (31+),Employment-to-population ratio(%),51.29027125479445
2023,Q2,Adult (31+),Employment-to-population ratio(%),54.50571043282332
2023,Q3,Adult (31+),Employment-to-population ratio(%),51.077346152611085
2023,Q4,Adult (31+),Employment-to-population ratio(%),53.21554019663155
2024,Q1,Adult (31+),Employment-to-population ratio(%),57.396889781145305
2024,Q2,Adult (31+),Employment-to-population ratio(%),55.829436647024146
2024,Q3,Adult (31+),Employment-to-population ratio(%),55.61538265174464
2024,Q4,Adult (31+),Employment-to-population ratio(%),58.385194451571664
2025,Q1,Adult (31+),Employment-to-population ratio(%),60.093482289386976
2025,Q2,Adult (31+),Employment-to-population ratio(%),57.43803051848521
2025,Q3,Adult (31+),Employment-to-population ratio(%),57.33507160368712
2025,Q4,Adult (31+),Employment-to-population ratio(%),60.02006941048411
2019,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),45.76769399247536
2019,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),44.05447411856681
2019,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),46.04666677195903
2019,Q4,Adult (31+),Out of labour force (Inactivity rate(%)),43.30868081329138
2020,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),42.401891804155845
2020,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),43.20093013496283
2020,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),42.0184214673853
2020,Q4,Adult (31+),Out of labour force (Inactivity rate(%)),42.04421356024053
2021,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),45.57716579044205
2021,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),44.64918112394027
2021,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),45.784489356920574
2021,Q4,Adult (31+),Out of labour force (Inactivity rate(%)),35.81039935381053
2022,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),41.45612483404094
2022,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),41.072377531089785
2022,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),40.387520239712934
2022,Q4,Adult (31+),Out of labour force (Inactivity rate(%)),37.501185211809975
2023,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),39.58314196763955
2023,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),36.81726396725576
2023,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),39.291314845067944
2023,Q4,Adult (31+),Out of labour force (Inactivity rate(%)),37.86436668139981
2024,Q1,Adult (31+),Out of labour force (Inactivity rate(%)),35.99382754947711
2024,Q2,Adult (31+),Out of labour force (Inactivity rate(%)),34.98869060882506
2024,Q3,Adult (31+),Out of labour force (Inactivity rate(%)),36.54744876577445
