year,quarter,sex,education,value
2020,Q1,Male,Upper secondary,8.676633598481862
2020,Q2,Male,Upper secondary,9.603650252087546
2020,Q3,Male,Upper secondary,11.35415509703717
2020,Q4,Male,Upper secondary,9.917402021040719
2021,Q1,Male,Upper secondary,9.534730954719645
2021,Q2,Male,Upper secondary,11.473045723544884
2021,Q3,Male,Upper secondary,8.871952227562124
2021,Q4,Male,Upper secondary,9.798682613094247
2022,Q1,Male,Upper secondary,8.88465729963942
2022,Q2,Male,Upper secondary,8.23527170911557
2022,Q3,Male,Upper secondary,8.655712216618767
2022,Q4,Male,Upper secondary,9.447378537817935
2023,Q1,Male,Upper secondary,8.54898981120718
2023,Q2,Male,Upper secondary,8.903889648997783
2023,Q3,Male,Upper secondary,8.286617444741117
2023,Q4,Male,Upper secondary,9.794290356555722
2024,Q1,Male,Upper secondary,9.82483242679829
2024,Q2,Male,Upper secondary,10.37239983023815
2024,Q3,Male,Upper secondary,10.464197134623815
2024,Q4,Male,Upper secondary,11.11080814720248
2025,Q1,Male,Upper secondary,10.130798605576848
2025,Q2,Male,Upper secondary,10.068669746513228
2025,Q3,Male,Upper secondary,11.069427992273411
2025,Q4,Male,Upper secondary,10.91653961356241
2019,Q1,Male,University/Higher,7.013327344041925
2019,Q2,Male,University/Higher,8.222767516507263
2019,Q3,Male,University/Higher,7.786206894045029
2019,Q4,Male,University/Higher,7.9020453469193574
2020,Q1,Male,University/Higher,8.851503722998821
2020,Q2,Male,University/Higher,8.00455193924636
2020,Q3,Male,University/Higher,6.649111820603687
2020,Q4,Male,University/Higher,8.404797638488908
2021,Q1,Male,University/Higher,6.866197767898334
2021,Q2,Male,University/Higher,7.880505208043116
2021,Q3,Male,University/Higher,7.649055638144413
2021,Q4,Male,University/Higher,7.291317697259038
2022,Q1,Male,University/Higher,7.226659696681706
2022,Q2,Male,University/Higher,7.697852664499816
2022,Q3,Male,University/Higher,7.411426685044541
2022,Q4,Male,University/Higher,7.2619566487328
2023,Q1,Male,University/Higher,5.965746412998176
2023,Q2,Male,University/Higher,5.730478124707821
2023,Q3,Male,University/Higher,6.262055653487157
2023,Q4,Male,University/Higher,7.1792010323708455
2024,Q1,Male,University/Higher,7.071175580269845
2024,Q2,Male,University/Higher,6.591064264530262
2024,Q3,Male,University/Higher,5.699793035895897
2024,Q4,Male,University/Higher,6.041046706870922
2025,Q1,Male,University/Higher,5.61823114658497
2025,Q2,Male,University/Higher,6.0669705396951725
2025,Q3,Male,University/Higher,6.016745240553102
2025,Q4,Male,University/Higher,6.3854251930650365
2019,Q1,Female,_n_employed,1407387.8726897289
2019,Q2,Female,_n_employed,1417046.9197629925
2019,Q3,Female,_n_employed,1360765.4290855103
2019,Q4,Female,_n_employed,1507240.85524
2020,Q1,Female,_n_employed,1623447.5170242896
